53,Señoret 14,Legoupil et al. 1992-93,si,72°37'44'',52°36'17'',72°40'40'',,Bosque,Indet.,Campamento,20
54,Señoret 15,Legoupil et al. 1992-93,no,,,1 a 2,,Indet.,Suave,2,3
55,Bahía Agua Caliente 16,Legoupil et al. 1992-93,no,72°38'08'',52°34'39'',1 a 2,,Indet.,Suave,10,20
56,Bahía Agua Caliente 17,Legoupil et al. 1992-93,no,72°26'02'',52°40'00'',2,,Indet.,Suave,2,5
57,Bahía Altamirano (Bahia Cable) 34,Legoupil et al. 1992-93,no,72°25'40'',52°39'56'',1 a 2,,Indet.,Suave,10,70
58,Bahía Altamirano (Bahia Cable) 35,Legoupil et al. 1992-93,no,72°01'43'',52°32'51'',6,,Indet.,Suave,3,3
59,Bahía Altamirano (Bahia Cable) 36,Legoupil et al. 1992-93,no,72°01'26'',52°32'43'',4,,Indet.,Suave,3,3
60,Bahía Altamirano (Bahia Cable) 37,Legoupil et al. 1992-93,no,72°01'17'',52°32'50'',0 a 1 ,,Indet.,Mediana,3,3
61,Bahía Altamirano (Bahia Cable) 38,Legoupil et al. 1992-93,no,72°01'14'',52°33'06'',0 a 1 ,,Indet.,Mediana,3,3
62,Bahía Altamirano (Bahia Cable) 39,,no,72°01'06'',52°33'13'',0 a 1 ,,Indet.,Mediana,2,2
63,Bahía Cable 40,,no,72°00'54'',52°33'23'',0 a 1 ,,Indet.,Suave,3,3
64,Bahía Dirección,,no,72°02'59'',52°33'46'',n.r.,,Indet.,Indet.,n.r.,n.r.
65,M2,,no,69°35'00,52°27'00'',3,,Indet.,Indet.,n.r.,n.r.
66,Bahía Fortescue 5,,no,,,n.r.,,Baja,Indet.,n.r.,n.r.
67,Bahía Fortescue 6,,no,70°00'22'',53°41'37'',n.r.,,Baja,Indet.,n.r.,n.r.
68,Isla Wigwam 1,,no,,,n.r.,,Baja,Indet.,5,5
69,Isla Wigwam 10 centro,,no,71°59'29'',53°41'37'',n.r.,,Alta,mediana,n.r.,40
70,Isla Wigwam 10 este,,no,         ,,n.r.,,Alta,mediana,n.r.,45
71,Isla Wigwam 10 oeste,,no,71°59'38'',53°41'34'',n.r.,,Alta,mediana,n.r.,20
72,Isla Wigwam 3,,no, ,,n.r.,,Baja,Indet.,n.r.,n.r.
73,Isla Wigwam 4,,no,,,n.r.,,Baja,Indet.,n.r.,n.r.
74,Bahía Laredo 1,,sí,,,n.r.,,Alta,Marcada,15,100
75,Bahía Laredo 1A,,sí,70°48'33'',52°56'35'',12,,Nula,Suave,40,5
76,Bahía Laredo 1C,,sí,70°48'23'',52°56'57'',19,,Baja,Mediana,10,10
